country,date,fatalities,flight_model,location,operator
USA,11-05-1947,4,Lockheed L-049 Constellation,near Cape May Pou...,TWA
USA,11-05-1947,0,Fairchild C-82A Packet,"near Austin, TX",USAAF
Mexico,12-05-1947,0,Ford 4-AT-A Tri-Motor,Ometepec,NAMSA
Unknown country,12-05-1947,,Douglas R4D-1 (DC-3),unknown,US Navy
Ecuador,16-05-1947,,Douglas C-47A (DC-3),Quito-Marisc...,USAAF
USA,16-05-1947,0,Douglas DC-3,Gainesville ...,Strato-Freight
Russia,16-05-1947,22,Douglas C-47A (DC-3),near Khabarovsk A...,Aeroflot / Far East
Philippines,18-05-1947,18,Douglas C-47 (DC-3),near Malaybalay,Philippine AF
USA,19-05-1947,0,Douglas C-47D (DC-3),"near Livingston, MT",USAAF
Brazil,22-05-1947,,Douglas C-47B (DC-3),Rio de Janei...,Aerovias Brasil
